variables,values
"Pth_{322_CT_6,1}",0.0
"Pth_{321_CC_1,1}",0.0
"Pth_{202_STEAM_3,1}",0.76
"Pth_{315_STEAM_1,1}",0.0
"Pth_{223_CT_4,1}",0.0
"Pth_{123_STEAM_2,1}",1.55
"Pth_{213_CT_1,1}",0.0
"Pth_{223_CT_6,1}",0.0
"Pth_{313_CC_1,1}",0.4792532315929279
"Pth_{202_CT_2,1}",0.0
"Pth_{101_STEAM_3,1}",0.76
"Pth_{302_CT_1,1}",0.0
"Pth_{123_CT_1,1}",0.0
"Pth_{113_CT_3,1}",0.0
"Pth_{302_CT_3,1}",0.0
"Pth_{215_CT_4,1}",0.0
"Pth_{102_STEAM_3,1}",0.76
"Pth_{301_CT_4,1}",0.0
"Pth_{202_CT_1,1}",0.0
"Pth_{113_CT_2,1}",0.0
"Pth_{221_CC_1,1}",0.0
"Pth_{223_CT_5,1}",0.0
"Pth_{315_CT_7,1}",0.0
"Pth_{215_CT_5,1}",0.0
"Pth_{323_CC_1,1}",0.0
"Pth_{101_STEAM_4,1}",0.76
"Pth_{113_CT_1,1}",0.0
"Pth_{223_STEAM_3,1}",1.8678899880733666
"Pth_{318_CC_1,1}",0.0
"Pth_{307_CT_2,1}",0.0
"Pth_{213_CT_2,1}",0.0
"Pth_{113_CT_4,1}",0.0
"Pth_{315_STEAM_3,1}",0.0
"Pth_{118_CC_1,1}",0.0
"Pth_{315_CT_8,1}",0.0
"Pth_{302_CT_2,1}",0.0
"Pth_{218_CC_1,1}",0.0
"Pth_{213_CC_3,1}",0.0
"Pth_{115_STEAM_3,1}",1.55
"Pth_{323_CC_2,1}",0.0
"Pth_{101_CT_1,1}",0.0
"Pth_{115_STEAM_2,1}",0.0
"Pth_{101_CT_2,1}",0.0
"Pth_{322_CT_5,1}",0.0
"Pth_{315_STEAM_5,1}",0.0
"Pth_{207_CT_2,1}",0.0
"Pth_{123_STEAM_3,1}",3.5
"Pth_{223_STEAM_1,1}",1.55
"Pth_{123_CT_5,1}",0.0
"Pth_{301_CT_1,1}",0.0
"Pth_{223_STEAM_2,1}",1.55
"Pth_{202_STEAM_4,1}",0.76
"Pth_{116_STEAM_1,1}",1.55
"Pth_{315_STEAM_4,1}",0.0
"Pth_{115_STEAM_1,1}",0.0
"Pth_{315_STEAM_2,1}",0.0
"Pth_{121_NUCLEAR_1,1}",4.0
"Pth_{102_CT_2,1}",0.0
"Pth_{123_CT_4,1}",0.0
"Pth_{207_CT_1,1}",0.0
"Pth_{301_CT_3,1}",0.0
"Pth_{316_STEAM_1,1}",0.0
"Pth_{102_CT_1,1}",0.0
"Pth_{216_STEAM_1,1}",0.0
"Pth_{315_CT_6,1}",0.0
"Pth_{201_CT_2,1}",0.0
"Pth_{201_STEAM_3,1}",0.0
"Pth_{201_CT_1,1}",0.0
"Pth_{301_CT_2,1}",0.0
"Pth_{302_CT_4,1}",0.0
"Pth_{307_CT_1,1}",0.0
"Pth_{102_STEAM_4,1}",0.76
"Pth_{107_CC_1,1}",1.2980037374136006
"Pth_{322_CT_6,2}",0.0
"Pth_{321_CC_1,2}",3.55
"Pth_{202_STEAM_3,2}",0.76
"Pth_{315_STEAM_1,2}",0.0
"Pth_{223_CT_4,2}",0.0
"Pth_{123_STEAM_2,2}",1.55
"Pth_{213_CT_1,2}",0.0
"Pth_{223_CT_6,2}",0.0
"Pth_{313_CC_1,2}",3.55
"Pth_{202_CT_2,2}",0.0
"Pth_{101_STEAM_3,2}",0.76
"Pth_{302_CT_1,2}",0.0
"Pth_{123_CT_1,2}",0.0
"Pth_{113_CT_3,2}",0.0
"Pth_{302_CT_3,2}",0.0
"Pth_{215_CT_4,2}",0.0
"Pth_{102_STEAM_3,2}",0.76
"Pth_{301_CT_4,2}",0.0
"Pth_{202_CT_1,2}",0.0
"Pth_{113_CT_2,2}",0.0
"Pth_{221_CC_1,2}",3.55
"Pth_{223_CT_5,2}",0.0
"Pth_{315_CT_7,2}",0.0
"Pth_{215_CT_5,2}",0.0
"Pth_{323_CC_1,2}",0.0
"Pth_{101_STEAM_4,2}",0.76
"Pth_{113_CT_1,2}",0.0
"Pth_{223_STEAM_3,2}",3.5
"Pth_{318_CC_1,2}",3.55
"Pth_{307_CT_2,2}",0.0
"Pth_{213_CT_2,2}",0.0
"Pth_{113_CT_4,2}",0.0
"Pth_{315_STEAM_3,2}",0.0
"Pth_{118_CC_1,2}",3.55
"Pth_{315_CT_8,2}",0.0
"Pth_{302_CT_2,2}",0.0
"Pth_{218_CC_1,2}",0.7008771046346656
"Pth_{213_CC_3,2}",3.55
"Pth_{115_STEAM_3,2}",1.55
"Pth_{323_CC_2,2}",0.0
"Pth_{101_CT_1,2}",0.0
"Pth_{115_STEAM_2,2}",0.0
"Pth_{101_CT_2,2}",0.0
"Pth_{322_CT_5,2}",0.0
"Pth_{315_STEAM_5,2}",0.0
"Pth_{207_CT_2,2}",0.0
"Pth_{123_STEAM_3,2}",3.5
"Pth_{223_STEAM_1,2}",1.55
"Pth_{123_CT_5,2}",0.0
"Pth_{301_CT_1,2}",0.0
"Pth_{223_STEAM_2,2}",1.55
"Pth_{202_STEAM_4,2}",0.76
"Pth_{116_STEAM_1,2}",1.55
"Pth_{315_STEAM_4,2}",0.0
"Pth_{115_STEAM_1,2}",0.0
"Pth_{315_STEAM_2,2}",0.0
"Pth_{121_NUCLEAR_1,2}",4.0
"Pth_{102_CT_2,2}",0.0
"Pth_{123_CT_4,2}",0.0
"Pth_{207_CT_1,2}",0.0
"Pth_{301_CT_3,2}",0.0
"Pth_{316_STEAM_1,2}",1.55
"Pth_{102_CT_1,2}",0.0
"Pth_{216_STEAM_1,2}",1.55
"Pth_{315_CT_6,2}",0.0
"Pth_{201_CT_2,2}",0.0
"Pth_{201_STEAM_3,2}",0.76
"Pth_{201_CT_1,2}",0.0
"Pth_{301_CT_2,2}",0.0
"Pth_{302_CT_4,2}",0.0
"Pth_{307_CT_1,2}",0.0
"Pth_{102_STEAM_4,2}",0.76
"Pth_{107_CC_1,2}",3.55
"Pth_{322_CT_6,3}",0.55
"Pth_{321_CC_1,3}",3.55
"Pth_{202_STEAM_3,3}",0.76
"Pth_{315_STEAM_1,3}",0.0
"Pth_{223_CT_4,3}",0.55
"Pth_{123_STEAM_2,3}",1.55
"Pth_{213_CT_1,3}",0.55
"Pth_{223_CT_6,3}",0.55
"Pth_{313_CC_1,3}",3.55
"Pth_{202_CT_2,3}",0.2
"Pth_{101_STEAM_3,3}",0.76
"Pth_{302_CT_1,3}",0.2
"Pth_{123_CT_1,3}",0.55
"Pth_{113_CT_3,3}",0.55
"Pth_{302_CT_3,3}",0.55
"Pth_{215_CT_4,3}",0.55
"Pth_{102_STEAM_3,3}",0.76
"Pth_{301_CT_4,3}",0.55
"Pth_{202_CT_1,3}",0.2
"Pth_{113_CT_2,3}",0.55
"Pth_{221_CC_1,3}",3.55
"Pth_{223_CT_5,3}",0.55
"Pth_{315_CT_7,3}",0.55
"Pth_{215_CT_5,3}",0.55
"Pth_{323_CC_1,3}",3.55
"Pth_{101_STEAM_4,3}",0.76
"Pth_{113_CT_1,3}",0.55
"Pth_{223_STEAM_3,3}",3.5
"Pth_{318_CC_1,3}",2.4096410557343346
"Pth_{307_CT_2,3}",0.55
"Pth_{213_CT_2,3}",0.55
"Pth_{113_CT_4,3}",0.55
"Pth_{315_STEAM_3,3}",0.0
"Pth_{118_CC_1,3}",3.0646320892681604
"Pth_{315_CT_8,3}",0.55
"Pth_{302_CT_2,3}",0.2
"Pth_{218_CC_1,3}",3.55
"Pth_{213_CC_3,3}",3.55
"Pth_{115_STEAM_3,3}",1.55
"Pth_{323_CC_2,3}",3.55
"Pth_{101_CT_1,3}",0.2
"Pth_{115_STEAM_2,3}",0.12
"Pth_{101_CT_2,3}",0.2
"Pth_{322_CT_5,3}",0.55
"Pth_{315_STEAM_5,3}",0.0
"Pth_{207_CT_2,3}",0.55
"Pth_{123_STEAM_3,3}",3.5
"Pth_{223_STEAM_1,3}",1.55
"Pth_{123_CT_5,3}",0.55
"Pth_{301_CT_1,3}",0.2
"Pth_{223_STEAM_2,3}",1.55
"Pth_{202_STEAM_4,3}",0.76
"Pth_{116_STEAM_1,3}",1.55
"Pth_{315_STEAM_4,3}",0.0
"Pth_{115_STEAM_1,3}",0.12
"Pth_{315_STEAM_2,3}",0.0
"Pth_{121_NUCLEAR_1,3}",4.0
"Pth_{102_CT_2,3}",0.2
"Pth_{123_CT_4,3}",0.55
"Pth_{207_CT_1,3}",0.55
"Pth_{301_CT_3,3}",0.55
"Pth_{316_STEAM_1,3}",1.55
"Pth_{102_CT_1,3}",0.2
"Pth_{216_STEAM_1,3}",1.55
"Pth_{315_CT_6,3}",0.55
"Pth_{201_CT_2,3}",0.2
"Pth_{201_STEAM_3,3}",0.76
"Pth_{201_CT_1,3}",0.2
"Pth_{301_CT_2,3}",0.2
"Pth_{302_CT_4,3}",0.55
"Pth_{307_CT_1,3}",0.55
"Pth_{102_STEAM_4,3}",0.76
"Pth_{107_CC_1,3}",3.55
"Pre_{324_PV_3,1}",0.0
